tax_id,name_txt,HutH
135024,,True
205913,Bifidobacterium longum DJO10A,True
206672,Bifidobacterium longum NCC2705,True
326426,Bifidobacterium breve UCC2003,False
367928,Bifidobacterium adolescentis ATCC 15703,False
391904,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,False
398513,Bifidobacterium bifidum NCIMB 41171,False
398514,Bifidobacterium bifidum JCM 1254,False
398515,Bifidobacterium bifidum DSM 20215,False
398516,Bifidobacterium pullorum ATCC 49618,False
401473,Bifidobacterium dentium Bd1,False
411481,Bifidobacterium adolescentis L2-32,False
442563,Bifidobacterium animalis subsp. lactis AD011,False
473819,Bifidobacterium dentium ATCC 27678,False
478445,Bifidobacterium longum BORI,False
484020,Bifidobacterium bifidum BGN4,False
486409,Bifidobacterium animalis subsp. lactis HN019,False
500634,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456,False
518634,Bifidobacterium breve DSM 20213 = JCM 1192,False
518635,Bifidobacterium angulatum DSM 20098 = JCM 7096,False
537937,Bifidobacterium longum subsp. infantis CCUG 52486,True
547043,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,False
548480,Bifidobacterium longum subsp. longum ATCC 55813,True
552531,Bifidobacterium animalis subsp. lactis BB-12,False
553191,Bifidobacterium dentium JCVIHMP022,False
555970,Bifidobacterium animalis subsp. lactis DSM 10140,False
561180,Bifidobacterium gallicum DSM 20093 = LMG 11596,False
565040,Bifidobacterium longum subsp. infantis 157F,True
565042,Bifidobacterium longum subsp. longum JCM 1217,True
566552,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,False
573236,Bifidobacterium animalis subsp. lactis V9,False
580050,Bifidobacterium animalis subsp. lactis Bl-04,False
702459,Bifidobacterium bifidum PRL2010,False
703613,Bifidobacterium animalis subsp. animalis ATCC 25527,False
718253,Bifidobacterium pseudocatenulatum D2CA,False
722911,Bifidobacterium longum subsp. longum F8,True
742729,Bifidobacterium animalis subsp. lactis Bi-07,False
759350,Bifidobacterium longum subsp. longum JDM301,True
858660,Bifidobacterium breve EX533959VC21,False
858694,Bifidobacterium breve EX336960VC18,False
858695,Bifidobacterium breve EX336960VC19,False
858696,Bifidobacterium breve EX336960VC21,False
866777,Bifidobacterium breve ACS-071-V-Sch8b,False
