bacteria,huth,analysis,sample
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteria,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Clostridiales incertae sedis,hutH,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Oscillospiraceae,hutH,MGYA00721508,ERZ650890
Rikenellaceae,hutH,MGYA00721508,ERZ650890
Bacteroidia,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Oscillospiraceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteroidia,hutH,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,MGYA00721508,ERZ650890
Eubacteriaceae,hutH,MGYA00721508,ERZ650890
Rikenellaceae,hutH,MGYA00721508,ERZ650890
unclassified Burkholderiales,hutH,MGYA00721508,ERZ650890
Betaproteobacteria,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,MGYA00721508,ERZ650890
Rikenellaceae,hutH,MGYA00721508,ERZ650890
Rikenellaceae,hutH,MGYA00721508,ERZ650890
Blautia,hutH,MGYA00721508,ERZ650890
Firmicutes,hutH,MGYA00721508,ERZ650890
Bifidobacteriales,hutH,MGYA00721508,ERZ650890
Firmicutes,hutH,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,MGYA00721508,ERZ650890
unclassified Burkholderiales,hutH,MGYA00721516,ERZ650889
Firmicutes,hutH,MGYA00721516,ERZ650889
Rikenellaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Rikenellaceae,hutH,MGYA00721516,ERZ650889
Bacteroidia,hutH,MGYA00721516,ERZ650889
Porphyromonadaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH1,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Rikenellaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
Porphyromonadaceae,hutH,MGYA00721516,ERZ650889
Bacteria,hutH,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,MGYA00721516,ERZ650889
Bacteria,hutH,MGYA00721516,ERZ650889
Betaproteobacteria,hutH,MGYA00721516,ERZ650889
Bacteroidia,hutH,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Sutterellaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,MGYA00721520,ERZ650930
Bacteroidia,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Synergistetes,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Clostridiales incertae sedis,hutH,MGYA00721520,ERZ650930
Bacteroidia,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidia,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,MGYA00721520,ERZ650930
Rikenellaceae,hutH,MGYA00721520,ERZ650930
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,MGYA00721526,ERZ650893
Bacilli,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Eubacteriaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Bacteria,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Synergistetes,hutH1,MGYA00721526,ERZ650893
Citrobacter,hutH,MGYA00721526,ERZ650893
Oscillospiraceae,hutH,MGYA00721526,ERZ650893
Rikenellaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Clostridiales incertae sedis,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,MGYA00721526,ERZ650893
Oscillospiraceae,hutH,MGYA00721526,ERZ650893
Clostridiaceae,hutH,MGYA00721526,ERZ650893
Eubacteriaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Bacteroidia,hutH,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Synergistetes,hutH,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,MGYA00721526,ERZ650893
Blautia,hutH,MGYA00721539,ERZ650888
Clostridia,hutH,MGYA00721539,ERZ650888
Fusobacteria,hutH,MGYA00721539,ERZ650888
Clostridia,hutH_2,MGYA00721539,ERZ650888
Clostridia,hutH,MGYA00721539,ERZ650888
Bacteria,hutH,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,MGYA00721539,ERZ650888
Porphyromonadaceae,hutH,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,MGYA00721539,ERZ650888
Bacteria,hutH,MGYA00721539,ERZ650888
unclassified Burkholderiales,hutH,MGYA00721539,ERZ650888
unclassified Burkholderiales,hutH,MGYA00721539,ERZ650888
Bacilli,hutH,MGYA00721539,ERZ650888
Citrobacter,hutH,MGYA00721539,ERZ650888
Betaproteobacteria,hutH,MGYA00721539,ERZ650888
Blautia,hutH,MGYA00721539,ERZ650888
Bifidobacteriales,hutH,MGYA00721539,ERZ650888
Bifidobacteriales,hutH,MGYA00721539,ERZ650888
Clostridia,hutH,MGYA00721539,ERZ650888
Clostridia,hutH,MGYA00721539,ERZ650888
Blautia,hutH,MGYA00721539,ERZ650888
Gammaproteobacteria,hutH,MGYA00721539,ERZ650888
Clostridia,hutH,MGYA00721539,ERZ650888
Blautia,hutH,MGYA00721539,ERZ650888
Clostridia,hutH_2,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,MGYA00721550,ERZ650928
Blautia,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bifidobacteriales,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
