bacteria,huth,huth_abundance,total_sample_depth,relative_abundance,analysis,sample
Bacteroidaceae,hutH,984.2,99994599.39999998,9.842531555759204e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,746.5,99994599.39999998,7.465403176563956e-06,MGYA00721508,ERZ650890
Bacteria,hutH,846.3,99994599.39999998,8.463457077462927e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,678.3,99994599.39999998,6.783366342482693e-06,MGYA00721508,ERZ650890
Clostridiales incertae sedis,hutH,629.4,99994599.39999998,6.2943399321223755e-06,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,984.2,99994599.39999998,9.842531555759204e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,1005.0,99994599.39999998,1.0050542789613898e-05,MGYA00721508,ERZ650890
Oscillospiraceae,hutH,593.2,99994599.39999998,5.932320380894493e-06,MGYA00721508,ERZ650890
Rikenellaceae,hutH,975.3,99994599.39999998,9.753526748965607e-06,MGYA00721508,ERZ650890
Bacteroidia,hutH,959.9,99994599.39999998,9.599518431592419e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,989.6,99994599.39999998,9.896534472240711e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,986.1,99994599.39999998,9.861532581928622e-06,MGYA00721508,ERZ650890
Oscillospiraceae,hutH,1013.4,99994599.39999998,1.013454732636291e-05,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,985.7,99994599.39999998,9.857532365892955e-06,MGYA00721508,ERZ650890
Bacteroidia,hutH,832.8,99994599.39999998,8.328449786259159e-06,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,970.7,99994599.39999998,9.707524264555434e-06,MGYA00721508,ERZ650890
Eubacteriaceae,hutH,632.9,99994599.39999998,6.3293418224344635e-06,MGYA00721508,ERZ650890
Rikenellaceae,hutH,965.3,99994599.39999998,9.653521348073926e-06,MGYA00721508,ERZ650890
unclassified Burkholderiales,hutH,1052.7,99994599.39999998,1.0527568551867215e-05,MGYA00721508,ERZ650890
Betaproteobacteria,hutH,1050.4,99994599.39999998,1.0504567309662129e-05,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,225.7,99994599.39999998,2.2571218981252304e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,546.2,99994599.39999998,5.462294996703594e-06,MGYA00721508,ERZ650890
Bacteroidaceae,hutH,69.3,99994599.39999998,6.930374281793464e-07,MGYA00721508,ERZ650890
Rikenellaceae,hutH,421.0,99994599.39999998,4.210227377539753e-06,MGYA00721508,ERZ650890
Rikenellaceae,hutH,217.2,99994599.39999998,2.172117307367302e-06,MGYA00721508,ERZ650890
Blautia,hutH,131.3,99994599.39999998,1.3130709137077661e-06,MGYA00721508,ERZ650890
